연구보고서명,발행일,연구책임자,보고서종류,국제표준도서번호,연구목적
[2014] 여성장애인 고용촉진을 위한 양질의 시간제 일자리 활성화 방안 연구,2014-10-31,김승완,정책연구,978-89-6921-157-6(93330),시간제 일자리가 여성장애인의 고용촉진에 어떠한 영향을 미치는지 정책도구 측면에서 분석하며  상대적으로 근로조건이 열악한 환경에서 근무하는 여성장애인근로자를 정책기제인 시간제 일자리를 통해서 고용을 활성화하고 '괜찮은 잡'으로 전환하기 위한 정책제언을 마련하고자 함
[2014] 한중일 장애아동 가족지원 정책비교,2014-09-30,김정희 ,연구보고서,978-89-6921-154-5(93330),본 연구에서는 한 중 일 장애아동 가족에 대한 관점의 공통점과 차이점  가족지원정책 내용의 공통점과 차이점을 비교하여 장애아동 가족지원정책 분야에서 한국에 대한 시사점을 도출함
[2014] 2013 KODDI 연구요약집,2014-03-26,각 연구과제별 연구책임자,연구요약집,978-89-6921-152-1(93330),본원에서 2013년 한해동안 수행한 연구보고서의 요약집
[2013] 중증 뇌병변 장애아동 및 가족 지원방안 연구,2014-01-10,최복천,연구보고서,978-89-6921-130-9,중증 뇌병변 장애아동과 가족의 어려움과 욕구에 대해 살펴봄으로써 그동안 사각지대에 있던 중증 뇌병변장애아동과 가족의 실태를 분석하고자 함. 또한 분석을 통해 중증 뇌병변장애아동과 가족의 특수한 욕구를 발견하고 적절한 지원방안을 모색하고자 함.
[2013] 발달장애인가족 사례관리 매뉴얼 개발 연구 ,2013-12-31,최복천,연구보고서,978-89-6921-131-6,발달장애인가족을 대상으로 하는 사례관리의 원칙과 방향성을 재정립하고 클라이언트 중심  가족 중심  지역사회 중심의 사례관리를 행하는데 있어 가이드라인이 될 수 있는 매뉴얼을 개발하여 현장 복지실천악의 역량을 강화하고자 함.
[2013] 2013  장애인백서,2013-12-31,나영희,장애인백서,978-89-6921-124-8,현재 진행되고 있는 장애인정책을 재조명하고 장애인복지 업무 및 정책 등을 체계적으로 종합할 수 있는 자료 제공을 목적으로 함
[2013] 서울시 저소득 장애인 주거환경개선사업,2013-12-31,김인순,데이터 미집계,데이터 미집계,데이터 미집계
[2013] 발달장애인 관점에서 바라본 이성관계의 의미와 실제,2013-12-31,최복천,연구보고서,978-89-6921-133-0(93330),발달장애인 당사자의 관점에서 부여하는 이성교제의 의미와 그들의 경험을 고찰하고자 함.
[2013] 중증장애인직업재활지원사업 성과와 발전방안 연구,2013-12-31,대구대학교 직업재활학과 교수 나운환,위탁연구보고서,978-89-6921-134-7(93330),중증장애인직업재활지원사업 성과 분석을 통해 경제적가치를 진단하고 실효성을 극대화할 수 있는 방안 제시
[2013] 2013년 장애인 정책연구 공모사업 연구보고서 요약집,2013-12-31,장애인단체,연구보고서,978-89-6921-132-3(93330),한국장애인개발원의 '장애인 정책연구 공모사업' 지원에 의해 장애인단체가 수행한 연구보고서의 요약집
[2013] 농어촌 장애인 주택개조지원사업,2013-12-31,김인순,데이터 미집계,데이터 미집계,데이터 미집계
[2013] 인천전략 지표에 대한 메타데이터 시트,2013-12-31,최승철,정책연구,978-89-6921-125-5(93330) , 연구는 유엔에스캅이 전문가 및 각국 정부와 협의하여 2014년 초까지 작성할 예정인 인천전략 지표의 데이터 축적을 위한 가이드북에 기여하기 위해 작성되었음.
[2013] 건축법 개정 마련을 위한 주출입구 높이차이제거 비용효과 분석 연구,2013-12-26,김인순,연구보고서,978-89-6921-129-3(93540),접근가능한 건축물을 만들어 시설물을 이용할 수 있도록 하고 내부편의시설의 접근을 통하여 장애인 등의 시설이용에 대한 체감율을 증가시킬 수 있도록 하기 위한 인식개선 및 실제 현장에서 사례로 적용가능한 자료로 활용하는데 목적이 있음
[2013] 동아시아 장애인복지정책 비교연구  -한국 중국 일본을 중심으로,2013-12-06,김정희,정책,978-89-6921-115-6(93330) ,동아시아 장애인복지정책 비교연구
[2013] 발달장애인 자조집단 지원 매뉴얼 ,2013-11-30,최복천,매뉴얼,978-89-6921-120-0(93330),발달장애인 자조집단을 지원하는 조력자들의 자조집단에 대한 이해를 돕고 자조집단 지원 시 참고가 되는 기준을 제공함으로써 조력자들의 업무 수월성을 높임. 
[2013] 장애아동 및 가족 실태조사,2013-11-30,최복천,연구보고서,978-89-6921-122-4,장애아동 및 가족의 어려움과 욕구에 대한 실태를 살펴보고  장애아동 및 가족에게 실질적인 지원이 이루어질 수 있는 정책방안을 도출하고자 함. 또한 「장애아동 복지지원법」제11조에 근거하여 하여 실시될 ‘장애아동복지실태조사’에 기초자료로 활용될 수 있도록 제시하고자 함. 
[2013] 해외 영유아 양육지원 프로그램 사례연구 - Parents as Teachers(PAT)를 중심으로,2013-11-30,조윤경,연구보고서,978-89-6921-121-7,해외의 선진사례프로그램(PAT)을 분석하여  한국형의 장애 영유아 양육지원프로그램을 개발하기 위한 논의의 기초를 마련하고  한국적 상황에서의 유의미성 및 필요성을 논하고자 함
[2013] 발달장애인 요양보호사 보조원 직무분석 및 직업배치 연구,2013-11-29,가톨릭대학교 박희찬 교수,위탁연구보고서,978-89-6921-118-7(93330),발달장애인의 직업영역 확대를 위한 적합일자리 직무분석 및 배치 방안 마련
[2013] 장애인편의시설 실태전수조사 보고서_본권,2013-11-29,김인순,연구보고서,978-89-97676-21-7(93330),장애인·노인·임산부등의 편의증진보장에 관한법률 제11조 및 동법 시행규칙 제4조에 의거 시설주관기관은 5년마다 장애인편의시설 설치실태에 대한 전수조사를 실시하여야 함
[2013] 난청인의 의사소통 증진을 위한 제도 개선 방안 연구,2013-11-08,전동일,연구보고서,978-89-6921-114-9(93330),본 연구는 최근 노령화의 급속한 진전으로 노인성 난청인이 증가하여  정책 수요가 확대될 것으로 예산되는 난청인의 언어생활과 지원제도를 점검함으로써 추가적인 정책 수요를 파악하고  난청인 의사소통 증진을 위한 제도 개선 방안을 제안하는데 목적이 있음. 
[2013] 직무보조인 지원사업 실태조사 및 활성화 방안 연구,2013-10-31,이혜경,연구보고서,978-89-6921-110-1,본원에서 수행하고 있는 직무보조인 지원사업의 현황과 실태를 다양한 측면에서 살펴보고  장애인 고용확대 및 유지를 위해 다각적 측면에서 발전적 방향을 모색함
[2013] 사회통합을 위한 장애주류화 관련 제도 도입방안 기초연구(1) ,2013-10-31,서해정,연구보고서,978-89-6921-113-2(94330),중앙정부 정책결정  실행  평가 과정 등에 장애주류화 가치를 반영하고  장애구분통계  장애영향  장애인지예산 분석 및 정책을 제언하고자 함
[2013] 스마트워크를 활용한 장애인 일자리 확대방안 연구,2013-10-31,전동일,연구보고서,978-89-6921-109-5,스마트워크를 활용한 장애인 일자리 확대 방안 도출
[2013] 중증장애인직업재활지원사업 평가지표 개선 연구,2013-10-31,이혜경,연구보고서,978-89-6921-111-8(93330),본 연구는 중증장애인직업재활지원사업 효율성 및 효과성을 제고하기 위해 평가지표를 개선하는데 목적이 있으며  선행연구에서 개발된 평가체계에 따라 장애인단체와 직업재활시설 중심의 평가지표를 개발하고자 함.
[2013] 성인발달장애인의 자립생활 지원방안 연구-전환서비스 중심으로,2013-10-22,최성일,연구보고서,978-89-6921-108-8(93330),본 연구는 국내외 선행연구를 고찰하여 발달장애인의 자립생활 및 전환지원과 관련한 문헌을 검토하고  델파이조사 및 심층면접을 통해 발달장애인의 전환기 자립생활 지원을 위한 기초자료를 제공하고  후속 연구의 토대를 마련함. 또한 연구결과를 통해 발달장애인의 자립생활을 위한 전환과정 지원 방안을 모색함
[2013] 복지디자인을 적용한 장애인 거주시설 모형 설계 연구,2013-09-30,이복실,연구보고서,978-89-6921-106-4(93330),본 연구는 거주환경 개선의 기초자료로 활용되도록 거주인의 삶의 질을 고려한 공간배치와 디자인 요소를 적용한 장애인 거주시설 모형을 개발함. 또한 적절한 사례와 평면도를 제시함으로써 장애인 거주시설 관련자들의 이해를 도와 실천현장에서 적극 활용할 수 있도록 함
[2013] 중고령장애인의 노후대비 실태와 지원방안 연구,2013-09-30,최성일,연구보고서,978-89-6921-105-7(93330),장애인의 고령화 대책 마련을 위한 기초자료 제공  중고령 장애인의 노후대비를 지원하기 위한 정책적 함의 도출
[2013] 교육에서의 장애차별 예방 매뉴얼 ,2013-09-30,최승철,정책연구,978-89-6921-107-1(93330),본 매뉴얼은 장애 차별에 대한 장애학생 및 학부모와 학교 당국의 인식 및 이해의 정도를 높이고 이를 통해 장애 차별을 예방하며 장애학생이 자신의 평등권을 제대로 요구하는 데 기여하는 것을 목적으로 작성하였음.
[2013] 성인 발달장애인 가족의 욕구 및 지원방안 연구,2013-08-30,이복실,연구보고서,978-89-6921-104-0(93330),본 연구에서는 현재 성인 발달장애인 가족이 직면하는 돌봄부담과 어려움수준과 실태를 파악하고 가족의 욕구를 분석함으로써 가족의 부담을 완화시킬 수 있는 지원방안을 제시하고자 함
[2013] 장애인 위기상황 대응매뉴얼 개발을 위한 기초연구,2013-07-11,권영숙,연구보고서,978-89-6921-102-6,국내 및 해외사례를 중심으로 각종 재해관련 하여 위기상황 대응 시스템 및 장애인에 대한 위기상황 대응매뉴얼 현황을 조사하여 국내의 장애 포괄적인 위기상황 대응매뉴얼 개발을 위한 기초자료를 확보하고자 함
[2012] 사법·행정·선거에서의 장애차별 예방 매뉴얼,2012-12-31,최승철,연구보고서,978-89-94262-04-8(93330),사법  행정  선거에서 장애인 차별 예방 관련 매뉴얼임
[2012] 장애아동 재활치료 제공기관 평가기준 및 지표개발,2012-12-31,전동일,비매품,978-89-94262-89-5(93330),첫째  바우처 재정 지원 방식에서의 평가 원리를 살펴보고 둘째  장애아동 재활치료 제공기관 평가방향을 도출하며 셋째  장애아동재활치료 제공기관 평가기준 및 지표를 개발하는데 있음
[2012] 중증장애인생산품우선구매제도 성과분석 연구,2012-12-31,박정남,연구보고서,데이터 미집계,중증장애인생산품우선구매제도 성과분석
[2012] 2012년 장애인정책기획단 연구자료집,2012-12-31,오혜경 외,연구보고서,978-89-94262-03-1(93330),급변하는 국내  외 장애환경 변화 속에서 장애인들의 다양한 요구를 수렴하고 장애인 정책수립에 필요한 제도개선 방안을 건의하기 위함
[2012] 중증장애인직업재활지원사업 평가체계 및 지표개선 연구,2012-12-31,이혜경,직업재활,978-89-94262-02-4(93330),장애인복지관  즉 직업재활센터  직업평가센터  직업재활프로그램 수행기관을 중심으로 연구를 수행하며  추후 직업재활시설과 장애인단체의 평가지표를 개선하고자 함
[2012] 직업재활서비스 표준모형 개발 및 원가분석 연구,2012-12-31,이혜경,연구보고서,978-89-94262-05-5(93330),장애인복지관  직업재활시설에서 수행되고 있는 주요 직업재활서비스를 분석  표준모형(안)을 모의적용함으로써  표준모형(안)의 신뢰성과 타당성을 검증함. 
[2012] 농어촌 장애인주택개조사업 ,2012-12-31,김인순,데이터 미집계,데이터 미집계,데이터 미집계
[2012] 서울시 저소득 장애인 주거환경개선사업,2012-12-31,김인순,데이터 미집계,데이터 미집계,데이터 미집계
[2012] 수화통역 실태 및 네트워크 구축방안 연구,2012-12-28,황주희,연구보고서,978-89-94262-91-8(93330),장애인차별금지법상에서의 '인적편의 제공' 의미를 가진 기관에서의 적절한 수화통역서비스 제공방안을 마련하기 위해 현행 수화통역서비스 실태 및 현황을 파악하고  청각장애인을 위한 수화통역 서비스의 원할한 제공을 위한 연구
[2012] 중증장애아동 돌봄지원서비스 개편방안 연구,2012-11-30,김정희,연구보고서,978-89-94262-90-1(93330),상시적인 돌봄이 요구되는 장애아동 가족의 돌봄부담 경감과 가족안정성 강화를 위해  현재 시행되고 있는 중증장애아동 돌봄지원 서비스 이용자 및 제공자의 서비스 실태를 파악하고 실효성 있는 돌봄지원 서비스 개편방안을 제시함
[2012] 장애인백서,2012-11-30,김정희 외,연구보고서,978-89-94262-96-3(93330), 1) 장애인복지 정책의 변화 추이를 통한 예산 확보 및 기초자료 마련   2)일관성 있는 장애인관련 자료 확보 및 DB의 지속적 관리  3)장애인복지 정책에 대한 정부의 실천적 노력 및 이행 강조
[2012] 공적개발원조의 장애주류화 방안 연구,2012-11-30,황주희,비매품,978-89-94262-93-2(93330),장애주류화를 위한 국제 동향 파악  한국의 개발에 있어 장애주류화를 위한 전제 조건 및 실행 가능한 사업의 내용을 제시
[2012] 후천적 장애발생 원인에 따른 대응과제,2012-11-30,전동일,비매품,978-89-94262-88-8(93330),질병  사고  재해로부터 발생한 사회적 위험에 대한 대응으로 발전해 온 장애관련제도 분석을 통해 장애 제도의 체계화의 가능성을 타진하고 대응과제를 도출
[2012] 성년후견제도의 이해,2012-10-31,전동일,비매품,978-89-94262-85-7(93330),성년후견인제도에 관한 전반적인 소개
[2012] 취약계층에 대한 성년후견서비스 지원방안 연구,2012-10-31,전동일,정책연구,978-89-94262-84-0(93330),성년후견제도를 이용하기 어렵다고 예상되는 취약계층 장애인에 대한 성년후견서비스 지원 방안을 도출
[2012] 직업재활시설 평가기준 개발에 관한 연구,2012-09-30,이혜경,연구보고서,978-89-94262-83-3(93330),직업재활시설 평가를 위해 평가체계에 대한 전반적 개선과 더불어 평가기준을 개선하고 평가결과를 적절히 활용함으로써 직업재활시설 운영의 효율성을 높이고자 함
[2011] 농어촌 장애인 주거환경개선사업,2011-12-31,김인순,데이터 미집계,데이터 미집계,데이터 미집계
[2011] 중증장애인 직업재활서비스 원가분석 연구,2011-12-30,박희찬,연구보고서,978-89-94262-68-0(93330),직업재활서비스를 제공하는 기관의 직업재활서비스 비용을 조사하여 그 현황을 분석하고  직업재활서비스 원가분석을 실시하여 단위비용을 산출하고자 함. 이로써 직업재활예산지원의 합리적인 근거를 마련하고  체계적인 성과측정 및 관리가 가능하고  장애인의 욕구에 맞는 직업재활서비스를 지원하기 위한 다양하고 탄력적인 예산지원방식을 도입하는데 필요한 기초자료를 마련하고자 함
[2011] 중증장애인직업재활지원사업 개선방안 연구,2011-12-30,이혜경,연구보고서,978-89-94262-64-2(93330),중증지원사업의 효율성을 지원기관과 미지원기관간의 재정 및 사업실적을 비교분석하고 중증지원사업의 차별성과 예산집행 운영 개선방안 등 중증지원사업의 개선방안에 대해 제시하고  중증장애인들의 직업재활과 고용을 보다 활성화하기 위해 중증지원사업의 새로운 변화방안을 모색하고자 함
[2011] 장애아동 재활치료 이용의 접근성 향상에 관한 연구 ,2011-11-30,강민희,정책연구,데이터 미집계,장애아동 재활치료사업의 현황과 문제점을 접근성 측면에서 조명하고  장애아동 재활치료 이용의 접근성 향상을 위한 현실적인 해결방안과 대안을 모색하고자 함.
[2011] 직업재활시설 실태조사,2011-11-30,이혜경,연구보고서,978-89-94262-63-5(93330),직업재활시설의 운영 실태를 파악하고 유형별  지역별 특성에 따른 분석을 통해 직업재활시설에 대한 포괄적 자료를 구축하며 정책제언을 위한 기초자료로 삼고자 함
[2011] 중증장애인생산품 생산시설 생산성 분석 및 발전방안 연구,2011-09-30,이혜경,연구보고서,978-89-94262-51-2,중증장애인생산품시설의 운영실태 파악 및 생산능력 분석  의무구매기관의 구매현황과 구매욕구 분석을 통하여 중증장애인생산품시설의 발전방안을 제시하고자 함
[2011] 장애인복지관의 재난방지를 위한 건축물 설계기준 및 피난기준 설정에 관한 연구,2011-09-20,김인순,연구보고서,978-89-94262-50-5,재난시 건축물 이용자 중 장애인 등 사회적약자의 안전한 피난이 가능하도록 함으로써 재난으로부터 인명피해를 최소화하기 위한 연구
[2010] 뇌성마비인 직업재활서비스 지원방안 연구,2010-12-31,이미정,연구보고서,978-89-94262-35-2(13330),뇌성마비인의 신체적  심리적  직업적 특성을 분석하는 동시에 뇌성마비인의 직업실태와 욕구 등을 파악하여 뇌성마비인의 직업재활 활성화를 위한 직업재활서비스 지원방안을 모색함
[2010] 중증장애인 다수고용사업장 평가 및 발전방안 연구,2010-12-31,강민희,연구보고서,978-89-94262-39-0,다수고용사업장 시범사업에 대한 평가와 다수고용사업장이 소규모 직업재활시설 운영형태를 탈피한 새로운 직업재활시설 모델 개발로 다수의 중증 장애인 보호고용을 위한 효과적인 대안으로 기능할 수 있는 방안을 모색하고자 함
[2010] 중증장애인 생활실태조사,2010-12-29,김정희,연구보고서,978-89-94262-41-3(93330),중증장애인복지 통계DB 구축의 연계성 및 지속성 확보와 중증장애인을 위한 정책 환경 변화에 따른 실태조사 영역 세분화
[2010] 직업재활프로그램사업 현황분석 및 수행기관 평가지표 개발 연구,2010-11-29,이상진,연구보고서,데이터 미집계,직업재활프로그램사업 수행기관 사업현황 분석을 토대로 사업효과를 분석하여 수행기관 평가지표와 지표활용방법을 개발  직업재활프로그램사업의 개선 및 확대 방안  직업재활프로그램사업의 새로운 유형모델화 등을 제시함
[2010] 중증장애인 가족지원 방안 연구-중증장애인 부부지원을 중심으로,2010-08-31,이용복,연구보고서,데이터 미집계,중증장애인 부부 가정의 가족이 경험하는 결혼생활 및 자녀양육 등의 어려움과 문제의 심각성을 파악하여 중증장애인 가족지원 방안을 구축하고자 함
[2009] 시각장애인 직업선택의 다양성 확보를 위한 제도개선 방안 연구 ,2009-12-31,이미정,연구보고서,978-89-94262-11-6(13330),시각장애인의 취업지원 연계체계 구축과 직업선택의 다양성을 확보하기 위한 제도개선을 제시하는 것을 목적으로 함
[2009] 중증장애인생산품 우선구매제도 활성화 연구,2009-12-30,이혜경,연구보고서,데이터 미집계,장애인생산품 우선구매 의무자인 국가 및 지방자치단체  공공기관의 구매실태 및 구매욕구 등에 대한 파악을 통해 중증장애인생산품 우선구매의 활성화 방안을 모색하고자 함
[2009] 청각장애인의 직업적응능력 향상을 위한 지원방안 연구,2009-11-30,이준우,연구보고서,978-89-94262-14-7(13330),청각장애인이 경험하는 직업적응과 관련된 어려움의 실태를 파악하고  학령기 경험을 바탕으로 성인기 직업적응 문제의 원인을 분석해서 직업적응능력 향상을 위한 실천적 제도 개선 방안을 제시하고자함
[2009] 중증장애인직업재활지원사업 수행기관 평가현황 분석 및 평가지표 연구,2009-09-30,오혜경,연구보고서,데이터 미집계,2010년 중증장애인직업재활지원사업 수행기관 평가를 앞두고 기존의 평가현황을 분석하고 평가체계 및 지표를 개발하고자 함
[2009] 시각 및 청각장애인 직업능력개발 연구,2009-03-31,김영일,연구보고서,데이터 미집계,우리나라 시각 및 청각장애인의 고용촉진을 위한 직업능력개발 활성화 방안을 제시하고자 함
[2009] 장애인직업재활시설 운영실태 분석 및 효율성 제고방안 연구,2009-03-16,이달엽,연구보고서,데이터 미집계,직업재활 시설의 운영실태 기초조사와 시설기능보강과 시설운영비 예산지원  투입된 인력과 자원 등에 관한 비용/편익에 의해 사회적·경제적 효용성에 대한 심층 분석으로 시설의 책임성과 윤리성을 강화하고 효율성 제고에 필요한 자료와 정보 분석을 도모하고자함
